sintoma,especialista
leve debilidad en la piel,dermatologo
fuerte rigidez en la garganta,medico_general
repentino rigidez en el pecho,cardiologo
agudo picazón en la piel,dermatologo
fuerte debilidad en la rodilla,medico_general
leve dolor en el oído,medico_general
leve sensibilidad en el oído,medico_general
fuerte náuseas en el estómago,gastroenterologo
leve inflamación en la garganta,medico_general
fuerte mareo en el pecho,cardiologo
agudo fiebre en el cuello,medico_general
leve sensibilidad en la piel,dermatologo
agudo mareo en la rodilla,neurologo
leve fiebre en la cabeza,neurologo
intermitente ardor en la garganta,medico_general
repentino fatiga en el cuello,medico_general
agudo sensibilidad en el estómago,gastroenterologo
fuerte mareo en el oído,neurologo
leve ardor en los brazos,medico_general
intermitente fiebre en la rodilla,medico_general
agudo dolor en las piernas,medico_general
repentino fatiga en el cuello,medico_general
leve debilidad en el estómago,gastroenterologo
fuerte debilidad en los brazos,medico_general
fuerte fiebre en la rodilla,medico_general
agudo ardor en los ojos,medico_general
moderado náuseas en la cabeza,neurologo
repentino rigidez en el oído,medico_general
leve fatiga en los ojos,medico_general
leve fatiga en el oído,medico_general
agudo rigidez en las piernas,medico_general
agudo náuseas en el cuello,medico_general
agudo ardor en el oído,medico_general
leve dolor en el pecho,cardiologo
leve dolor en el estómago,gastroenterologo
repentino fatiga en la piel,dermatologo
crónico náuseas en la garganta,medico_general
repentino fatiga en la garganta,medico_general
moderado picazón en el oído,dermatologo
moderado rigidez en las piernas,medico_general
agudo fiebre en las piernas,medico_general
fuerte náuseas en el estómago,gastroenterologo
moderado picazón en la cabeza,dermatologo
moderado debilidad en el cuello,medico_general
fuerte inflamación en el estómago,gastroenterologo
leve fatiga en la cabeza,neurologo
intermitente inflamación en la cabeza,neurologo
agudo náuseas en el oído,medico_general
repentino debilidad en el oído,medico_general
moderado dolor en las piernas,medico_general
intermitente rigidez en los ojos,medico_general
intermitente náuseas en las piernas,medico_general
intermitente fiebre en el pecho,cardiologo
agudo mareo en los brazos,neurologo
fuerte picazón en la cabeza,dermatologo
repentino náuseas en los ojos,medico_general
agudo ardor en el cuello,medico_general
leve mareo en la espalda,neurologo
agudo ardor en el estómago,gastroenterologo
intermitente rigidez en el pecho,cardiologo
fuerte sensibilidad en la cabeza,neurologo
repentino fatiga en los ojos,medico_general
leve náuseas en los ojos,medico_general
crónico fatiga en las piernas,medico_general
fuerte ardor en la rodilla,medico_general
crónico mareo en la garganta,neurologo
agudo dolor en la piel,dermatologo
leve inflamación en la cabeza,neurologo
crónico mareo en los ojos,neurologo
crónico rigidez en el cuello,medico_general
leve sensibilidad en el oído,medico_general
intermitente ardor en el cuello,medico_general
fuerte rigidez en la piel,dermatologo
crónico inflamación en el pecho,cardiologo
repentino rigidez en los ojos,medico_general
agudo sensibilidad en las piernas,medico_general
leve picazón en el estómago,dermatologo
crónico dolor en las piernas,medico_general
agudo presión en el estómago,cardiologo
crónico presión en la garganta,cardiologo
moderado debilidad en el cuello,medico_general
leve dolor en la garganta,medico_general
crónico fatiga en la espalda,traumatologo
repentino picazón en los ojos,dermatologo
repentino mareo en el cuello,neurologo
agudo fatiga en las piernas,medico_general
leve sensibilidad en la espalda,traumatologo
leve mareo en los brazos,neurologo
leve dolor en la cabeza,neurologo
crónico rigidez en los brazos,medico_general
crónico debilidad en las piernas,medico_general
moderado náuseas en el cuello,medico_general
leve sensibilidad en el pecho,cardiologo
crónico mareo en el estómago,neurologo
repentino dolor en los brazos,medico_general
intermitente rigidez en las piernas,medico_general
moderado fiebre en el pecho,cardiologo
repentino fatiga en los brazos,medico_general
fuerte inflamación en la garganta,medico_general
intermitente rigidez en el pecho,cardiologo
agudo inflamación en el oído,medico_general
agudo picazón en la espalda,dermatologo
leve sensibilidad en la piel,dermatologo
moderado náuseas en la piel,dermatologo
intermitente fiebre en el pecho,cardiologo
moderado dolor en la cabeza,neurologo
agudo sensibilidad en la espalda,traumatologo
repentino sensibilidad en las piernas,medico_general
agudo picazón en la rodilla,dermatologo
leve rigidez en la garganta,medico_general
repentino rigidez en la rodilla,medico_general
leve fiebre en la piel,dermatologo
crónico rigidez en la garganta,medico_general
agudo presión en la garganta,cardiologo
intermitente náuseas en el pecho,cardiologo
crónico mareo en el oído,neurologo
leve debilidad en los brazos,medico_general
crónico rigidez en la espalda,traumatologo
fuerte náuseas en la piel,dermatologo
intermitente fiebre en el pecho,cardiologo
leve ardor en el oído,medico_general
fuerte náuseas en el oído,medico_general
crónico presión en la espalda,cardiologo
intermitente sensibilidad en la espalda,traumatologo
agudo presión en el cuello,cardiologo
intermitente presión en los ojos,cardiologo
leve ardor en el estómago,gastroenterologo
moderado mareo en la rodilla,neurologo
repentino presión en la garganta,cardiologo
agudo fiebre en el cuello,medico_general
moderado mareo en el pecho,cardiologo
leve náuseas en la garganta,medico_general
agudo debilidad en la cabeza,neurologo
crónico náuseas en los ojos,medico_general
intermitente mareo en la cabeza,neurologo
fuerte sensibilidad en los brazos,medico_general
intermitente picazón en el cuello,dermatologo
leve rigidez en el cuello,medico_general
crónico inflamación en la cabeza,neurologo
fuerte náuseas en el estómago,gastroenterologo
agudo mareo en el oído,neurologo
agudo debilidad en la piel,dermatologo
crónico presión en el pecho,cardiologo
repentino ardor en los ojos,medico_general
fuerte dolor en el oído,medico_general
intermitente náuseas en las piernas,medico_general
crónico mareo en el estómago,neurologo
agudo fiebre en la cabeza,neurologo
fuerte inflamación en el estómago,gastroenterologo
crónico dolor en el oído,medico_general
leve presión en el estómago,cardiologo
repentino inflamación en el cuello,medico_general
leve picazón en la espalda,dermatologo
agudo fiebre en el cuello,medico_general
crónico picazón en la rodilla,dermatologo
agudo picazón en el cuello,dermatologo
repentino rigidez en los brazos,medico_general
fuerte fiebre en la rodilla,medico_general
repentino mareo en la espalda,neurologo
agudo fiebre en la cabeza,neurologo
moderado presión en la cabeza,cardiologo
crónico inflamación en la cabeza,neurologo
leve inflamación en el pecho,cardiologo
leve náuseas en la piel,dermatologo
repentino dolor en el cuello,medico_general
crónico presión en la piel,dermatologo
moderado mareo en el oído,neurologo
moderado presión en las piernas,cardiologo
leve sensibilidad en la espalda,traumatologo
fuerte picazón en la rodilla,dermatologo
repentino picazón en el cuello,dermatologo
crónico náuseas en la cabeza,neurologo
leve dolor en la cabeza,neurologo
agudo dolor en el estómago,gastroenterologo
intermitente náuseas en la cabeza,neurologo
intermitente dolor en la piel,dermatologo
intermitente rigidez en el cuello,medico_general
intermitente dolor en el pecho,cardiologo
leve debilidad en el cuello,medico_general
fuerte fiebre en la garganta,medico_general
fuerte inflamación en el cuello,medico_general
moderado rigidez en la cabeza,neurologo
moderado ardor en el cuello,medico_general
intermitente fiebre en los ojos,medico_general
intermitente ardor en la rodilla,medico_general
intermitente sensibilidad en la garganta,medico_general
moderado náuseas en el estómago,gastroenterologo
leve ardor en el oído,medico_general
repentino dolor en los brazos,medico_general
fuerte mareo en la rodilla,neurologo
crónico sensibilidad en la piel,dermatologo
repentino debilidad en la garganta,medico_general
fuerte mareo en el cuello,neurologo
crónico picazón en la piel,dermatologo
crónico presión en el pecho,cardiologo
agudo mareo en la cabeza,neurologo
repentino náuseas en la piel,dermatologo
repentino picazón en la garganta,dermatologo
agudo picazón en el oído,dermatologo
moderado picazón en la espalda,dermatologo
intermitente picazón en el estómago,dermatologo
moderado dolor en las piernas,medico_general
crónico rigidez en los ojos,medico_general
intermitente rigidez en la piel,dermatologo
intermitente picazón en la piel,dermatologo
intermitente náuseas en la espalda,traumatologo
agudo dolor en la espalda,traumatologo
fuerte mareo en la rodilla,neurologo
leve mareo en el estómago,neurologo
moderado mareo en la garganta,neurologo
crónico fatiga en la garganta,medico_general
agudo fiebre en las piernas,medico_general
moderado picazón en la piel,dermatologo
agudo mareo en la cabeza,neurologo
crónico rigidez en la espalda,traumatologo
intermitente mareo en la cabeza,neurologo
crónico náuseas en la garganta,medico_general
fuerte fatiga en el oído,medico_general
crónico rigidez en los brazos,medico_general
repentino náuseas en los brazos,medico_general
agudo ardor en el estómago,gastroenterologo
leve inflamación en los ojos,medico_general
repentino picazón en la garganta,dermatologo
intermitente mareo en la rodilla,neurologo
agudo mareo en el pecho,cardiologo
moderado mareo en las piernas,neurologo
fuerte ardor en la cabeza,neurologo
fuerte ardor en el pecho,cardiologo
leve debilidad en el pecho,cardiologo
leve mareo en el oído,neurologo
intermitente rigidez en las piernas,medico_general
moderado fiebre en el oído,medico_general
intermitente picazón en la rodilla,dermatologo
leve debilidad en la espalda,traumatologo
agudo debilidad en el estómago,gastroenterologo
fuerte presión en la cabeza,cardiologo
leve fatiga en la garganta,medico_general
agudo presión en el cuello,cardiologo
leve náuseas en las piernas,medico_general
leve sensibilidad en el pecho,cardiologo
repentino picazón en la piel,dermatologo
fuerte picazón en la garganta,dermatologo
repentino dolor en el pecho,cardiologo
intermitente presión en la rodilla,cardiologo
agudo rigidez en el cuello,medico_general
fuerte sensibilidad en la cabeza,neurologo
agudo fiebre en el estómago,gastroenterologo
fuerte fatiga en la piel,dermatologo
agudo inflamación en la cabeza,neurologo
agudo presión en la rodilla,cardiologo
fuerte fatiga en los brazos,medico_general
moderado ardor en la espalda,traumatologo
fuerte fatiga en los brazos,medico_general
fuerte rigidez en los ojos,medico_general
leve sensibilidad en la cabeza,neurologo
leve sensibilidad en el pecho,cardiologo
moderado picazón en la espalda,dermatologo
leve inflamación en las piernas,medico_general
agudo sensibilidad en los ojos,medico_general
intermitente sensibilidad en el estómago,gastroenterologo
repentino mareo en la piel,dermatologo
intermitente picazón en el cuello,dermatologo
moderado picazón en la piel,dermatologo
intermitente mareo en el estómago,neurologo
agudo picazón en el oído,dermatologo
crónico fatiga en el pecho,cardiologo
repentino dolor en la cabeza,neurologo
leve rigidez en los ojos,medico_general
fuerte rigidez en el estómago,gastroenterologo
repentino picazón en los brazos,dermatologo
fuerte debilidad en el pecho,cardiologo
repentino dolor en la espalda,traumatologo
leve inflamación en el estómago,gastroenterologo
moderado fiebre en la garganta,medico_general
agudo inflamación en la garganta,medico_general
intermitente debilidad en la rodilla,medico_general
repentino mareo en el pecho,cardiologo
intermitente picazón en la cabeza,dermatologo
repentino picazón en el oído,dermatologo
intermitente debilidad en el pecho,cardiologo
intermitente inflamación en la garganta,medico_general
leve debilidad en el estómago,gastroenterologo
fuerte ardor en las piernas,medico_general
fuerte inflamación en los brazos,medico_general
moderado presión en el pecho,cardiologo
agudo presión en la garganta,cardiologo
leve sensibilidad en el pecho,cardiologo
crónico fatiga en el estómago,gastroenterologo
fuerte inflamación en la rodilla,medico_general
intermitente fiebre en la cabeza,neurologo
fuerte debilidad en el estómago,gastroenterologo
leve debilidad en la piel,dermatologo
crónico sensibilidad en la espalda,traumatologo
repentino dolor en el oído,medico_general
moderado inflamación en la rodilla,medico_general
repentino debilidad en la espalda,traumatologo
fuerte mareo en la piel,dermatologo
moderado mareo en el oído,neurologo
leve presión en las piernas,cardiologo
agudo ardor en los brazos,medico_general
moderado dolor en la piel,dermatologo
agudo ardor en la garganta,medico_general
crónico náuseas en el cuello,medico_general
intermitente fatiga en el estómago,gastroenterologo
repentino presión en las piernas,cardiologo
fuerte ardor en la espalda,traumatologo
intermitente rigidez en el estómago,gastroenterologo
crónico rigidez en el pecho,cardiologo
moderado mareo en el pecho,cardiologo
crónico fatiga en el pecho,cardiologo
intermitente fiebre en el cuello,medico_general
fuerte mareo en la garganta,neurologo
agudo picazón en el pecho,dermatologo
agudo náuseas en la cabeza,neurologo
fuerte ardor en la piel,dermatologo
fuerte picazón en el pecho,dermatologo
crónico fiebre en la cabeza,neurologo
agudo dolor en el pecho,cardiologo
repentino mareo en los brazos,neurologo
agudo dolor en el cuello,medico_general
leve dolor en la piel,dermatologo
fuerte náuseas en la garganta,medico_general
crónico debilidad en la garganta,medico_general
fuerte inflamación en la cabeza,neurologo
leve fiebre en la piel,dermatologo
leve inflamación en los brazos,medico_general
moderado fatiga en la garganta,medico_general
repentino sensibilidad en el estómago,gastroenterologo
intermitente rigidez en la espalda,traumatologo
repentino picazón en la piel,dermatologo
leve rigidez en las piernas,medico_general
agudo mareo en las piernas,neurologo
repentino rigidez en los brazos,medico_general
repentino fiebre en el pecho,cardiologo
leve rigidez en los brazos,medico_general
crónico inflamación en los brazos,medico_general
leve fatiga en los ojos,medico_general
repentino inflamación en los brazos,medico_general
intermitente rigidez en el pecho,cardiologo
agudo dolor en la espalda,traumatologo
fuerte ardor en la cabeza,neurologo
moderado fatiga en el cuello,medico_general
repentino sensibilidad en la cabeza,neurologo
repentino sensibilidad en el pecho,cardiologo
moderado ardor en los brazos,medico_general
repentino rigidez en los ojos,medico_general
intermitente debilidad en el oído,medico_general
intermitente picazón en el pecho,dermatologo
fuerte debilidad en los ojos,medico_general
fuerte náuseas en la rodilla,medico_general
leve ardor en la cabeza,neurologo
intermitente inflamación en los ojos,medico_general
repentino picazón en los ojos,dermatologo
agudo mareo en el oído,neurologo
intermitente inflamación en los ojos,medico_general
fuerte fatiga en los brazos,medico_general
repentino rigidez en los ojos,medico_general
intermitente mareo en el estómago,neurologo
repentino fatiga en la espalda,traumatologo
fuerte dolor en los brazos,medico_general
agudo ardor en la cabeza,neurologo
agudo ardor en la espalda,traumatologo
agudo dolor en la garganta,medico_general
fuerte fiebre en el estómago,gastroenterologo
repentino inflamación en la rodilla,medico_general
moderado presión en las piernas,cardiologo
fuerte dolor en el oído,medico_general
leve presión en la espalda,cardiologo
moderado fiebre en el estómago,gastroenterologo
agudo fiebre en la cabeza,neurologo
crónico náuseas en el oído,medico_general
crónico mareo en la rodilla,neurologo
fuerte mareo en la garganta,neurologo
repentino rigidez en la piel,dermatologo
fuerte picazón en la cabeza,dermatologo
repentino mareo en los brazos,neurologo
leve ardor en el oído,medico_general
agudo rigidez en los ojos,medico_general
agudo fatiga en la cabeza,neurologo
intermitente mareo en las piernas,neurologo
crónico dolor en el pecho,cardiologo
repentino picazón en el pecho,dermatologo
moderado fatiga en el cuello,medico_general
moderado náuseas en los ojos,medico_general
crónico rigidez en el estómago,gastroenterologo
intermitente presión en los brazos,cardiologo
fuerte sensibilidad en la espalda,traumatologo
intermitente dolor en las piernas,medico_general
crónico fatiga en el pecho,cardiologo
repentino náuseas en el estómago,gastroenterologo
repentino mareo en el cuello,neurologo
fuerte debilidad en la rodilla,medico_general
agudo presión en los ojos,cardiologo
crónico picazón en el oído,dermatologo
repentino rigidez en la garganta,medico_general
agudo mareo en el cuello,neurologo
moderado debilidad en el estómago,gastroenterologo
agudo debilidad en la cabeza,neurologo
crónico fiebre en la rodilla,medico_general
fuerte náuseas en el estómago,gastroenterologo
crónico presión en la garganta,cardiologo
crónico picazón en los ojos,dermatologo
intermitente mareo en el estómago,neurologo
crónico picazón en los ojos,dermatologo
moderado fatiga en la rodilla,medico_general
intermitente dolor en la piel,dermatologo
agudo fiebre en la espalda,traumatologo
agudo ardor en la garganta,medico_general
repentino rigidez en la cabeza,neurologo
repentino fatiga en la espalda,traumatologo
fuerte inflamación en los ojos,medico_general
moderado fatiga en el oído,medico_general
intermitente mareo en la cabeza,neurologo
intermitente fiebre en la rodilla,medico_general
moderado náuseas en la cabeza,neurologo
fuerte mareo en las piernas,neurologo
fuerte sensibilidad en la cabeza,neurologo
agudo fatiga en el cuello,medico_general
agudo sensibilidad en el oído,medico_general
agudo sensibilidad en el oído,medico_general
crónico náuseas en los brazos,medico_general
repentino ardor en el oído,medico_general
crónico náuseas en la rodilla,medico_general
crónico inflamación en la piel,dermatologo
fuerte debilidad en el oído,medico_general
crónico presión en el oído,cardiologo
crónico fiebre en la cabeza,neurologo
moderado fatiga en el oído,medico_general
intermitente dolor en el pecho,cardiologo
repentino dolor en los ojos,medico_general
repentino inflamación en el oído,medico_general
intermitente picazón en los ojos,dermatologo
fuerte rigidez en la piel,dermatologo
leve náuseas en las piernas,medico_general
moderado debilidad en el cuello,medico_general
agudo inflamación en los ojos,medico_general
intermitente picazón en el pecho,dermatologo
repentino dolor en el pecho,cardiologo
agudo dolor en el estómago,gastroenterologo
intermitente rigidez en el estómago,gastroenterologo
crónico fiebre en los brazos,medico_general
agudo mareo en el pecho,cardiologo
fuerte debilidad en la garganta,medico_general
repentino sensibilidad en las piernas,medico_general
repentino fatiga en la garganta,medico_general
leve dolor en la espalda,traumatologo
moderado presión en la piel,dermatologo
moderado rigidez en el estómago,gastroenterologo
repentino presión en la cabeza,cardiologo
intermitente inflamación en los ojos,medico_general
repentino presión en la piel,dermatologo
leve mareo en el oído,neurologo
repentino mareo en el pecho,cardiologo
intermitente sensibilidad en el oído,medico_general
intermitente fatiga en las piernas,medico_general
fuerte debilidad en la rodilla,medico_general
agudo rigidez en el pecho,cardiologo
intermitente fatiga en los brazos,medico_general
moderado picazón en la cabeza,dermatologo
moderado debilidad en la cabeza,neurologo
intermitente sensibilidad en el cuello,medico_general
crónico rigidez en la cabeza,neurologo
fuerte fiebre en la garganta,medico_general
fuerte inflamación en la cabeza,neurologo
moderado rigidez en la piel,dermatologo
fuerte rigidez en los ojos,medico_general
intermitente ardor en el pecho,cardiologo
agudo picazón en la cabeza,dermatologo
crónico inflamación en los brazos,medico_general
moderado fatiga en el oído,medico_general
agudo picazón en la garganta,dermatologo
leve presión en la espalda,cardiologo
agudo rigidez en la rodilla,medico_general
crónico sensibilidad en la piel,dermatologo
crónico fiebre en el estómago,gastroenterologo
fuerte picazón en la cabeza,dermatologo
repentino picazón en la cabeza,dermatologo
moderado rigidez en los ojos,medico_general
leve náuseas en el pecho,cardiologo
repentino fiebre en el pecho,cardiologo
leve sensibilidad en la espalda,traumatologo
crónico picazón en el pecho,dermatologo
intermitente debilidad en las piernas,medico_general
moderado ardor en la cabeza,neurologo
crónico náuseas en la piel,dermatologo
repentino rigidez en la cabeza,neurologo
intermitente fiebre en el pecho,cardiologo
crónico dolor en el cuello,medico_general
crónico rigidez en la rodilla,medico_general
repentino fatiga en la espalda,traumatologo
agudo debilidad en los ojos,medico_general
moderado náuseas en el estómago,gastroenterologo
agudo sensibilidad en las piernas,medico_general
leve dolor en la rodilla,medico_general
repentino fiebre en el cuello,medico_general
repentino inflamación en el oído,medico_general
moderado mareo en la garganta,neurologo
crónico náuseas en las piernas,medico_general
